crop_name,disease_name,symptoms,cause,solution,prevention
Tomato,Healthy,"Healthy green leaves with no visible spots or discoloration","No disease or infection","Maintain proper watering and nutrition","Regular monitoring and pest prevention"
Tomato,Bacterial_spot,"Small dark water-soaked spots with yellow halos on leaves and fruits","Bacterial infection (Xanthomonas spp.) spread by rain","Apply copper-based bactericides","Use disease-free seeds, avoid overhead watering"
Tomato,Early_blight,"Circular brown spots with concentric rings, yellowing of lower leaves","Fungal infection caused by Alternaria solani","Apply chlorothalonil or mancozeb fungicides","Practice crop rotation, remove infected plant debris"
Tomato,Late_blight,"Water-soaked spots turning brown, white fuzzy mold on underside","Fungal infection caused by Phytophthora infestans","Apply fungicides containing chlorothalonil","Plant resistant varieties, ensure good air circulation"
Tomato,Leaf_Mold,"Yellow spots on upper leaf surface, grayish-purple mold on underside","Fungal disease caused by Fulvia fulva","Apply fungicides and improve ventilation","Avoid overcrowding, maintain low humidity"
Tomato,Spider_mites_Two_spotted_spider_mite,"Fine webbing on leaves, yellow stippling on leaf surfaces","Spider mite infestation in hot dry conditions","Apply miticides, increase humidity","Regular spraying, maintain proper humidity"
Tomato,Septoria_leaf_spot,"Small circular spots with dark margins and gray centers on leaves","Fungal infection caused by Septoria lycopersici","Apply chlorothalonil fungicides, remove infected leaves","Avoid overhead watering, practice crop rotation"
Tomato,Tomato_Yellow_Leaf_Curl_Virus,"Upward curling and yellowing of leaves, stunted growth","Viral infection spread by whiteflies","Control whiteflies, remove infected plants","Use resistant varieties, plant barrier crops"
Tomato,Tomato_mosaic_virus,"Mottled light and dark green patterns, leaf distortion","Viral infection spread by aphids and contaminated tools","Remove infected plants, control aphids","Use virus-free seeds, disinfect tools"
Tomato,Target_Spot,"Dark concentric spots with target-like appearance on leaves and fruits","Fungal disease caused by Corynespora cassiicola","Apply fungicides containing azoxystrobin","Practice crop rotation, remove plant debris"
Potato,Healthy,"Green healthy leaves, no dark spots or yellowing","No disease or infection","Maintain balanced fertilizer and water","Use certified seed potatoes"
Potato,Early_Blight,"Dark spots with concentric rings on leaves","Fungal infection (Alternaria solani)","Apply mancozeb or chlorothalonil fungicides","Practice crop rotation, remove infected foliage"
Potato,Late_Blight,"Water-soaked spots that spread rapidly, white mold growth","Fungal infection (Phytophthora infestans)","Apply metalaxyl-based fungicides","Plant resistant varieties, ensure good ventilation"
Potato,Common_Scab,"Rough, scabby patches on tubers","Soil-borne bacteria in alkaline soil","Maintain soil pH around 5.2","Use resistant varieties, avoid dry soil"
Potato,Blackleg,"Black rotting at stem base, wilting plants","Bacterial infection in wet conditions","Remove infected plants, improve drainage","Avoid waterlogging, use certified seed potatoes"
Potato,Pink_Rot,"Soft, pinkish decay of tubers","Fungal disease caused by Phytophthora erythroseptica","Apply metalaxyl-based fungicide","Avoid overwatering, ensure field drainage"
Potato,Soft_Rot,"Watery soft rot with foul odor","Bacterial infection through wounds","Improve drainage, remove infected tubers","Avoid injury during harvest, ensure proper curing"
Potato,Brown_Rot,"Wilting and brown discoloration in vascular tissue","Bacterial disease (Ralstonia solanacearum)","Remove infected plants, apply bactericides","Practice crop rotation and soil solarization"
Onion,Healthy,"Green upright leaves with no signs of spots or mold","No disease or infection","Proper irrigation and fertilizer","Use certified onion seeds"
Onion,Purple_Blotch,"Purple spots with yellow margins on leaves","Fungal disease in warm humid weather","Apply mancozeb or chlorothalonil","Practice crop rotation, avoid overhead watering"
Onion,Downy_Mildew,"Pale yellow spots on leaves, purple mold growth","Fungal-like organism in cool wet conditions","Apply metalaxyl-based fungicides","Ensure good air circulation, proper spacing"
Onion,White_Rot,"White fluffy fungal growth at bulb base","Soil-borne fungal disease","Remove infected plants, apply fungicide","Long crop rotation (5–7 years)"
Onion,Neck_Rot,"Soft decay starting at neck area during storage","Fungal infection through wounds","Cure bulbs properly before storage","Avoid neck injury at harvest"
Onion,Thrips_Damage,"Silvery streaks on leaves, twisted growth","Insect feeding damage by thrips","Apply appropriate insecticides","Use reflective mulch, monitor regularly"
Pumpkin,Healthy,"Green leaves with no visible signs of disease","No disease present","Maintain balanced fertilizer and pest control","Monitor regularly for early detection"
Pumpkin,Powdery_Mildew,"White powdery coating on leaf surfaces","Fungal infection in humid conditions","Apply sulfur or potassium bicarbonate fungicide","Ensure good air flow, avoid overcrowding"
Pumpkin,Downy_Mildew,"Yellow angular spots on upper leaf surfaces","Fungal-like organism in cool wet weather","Apply fungicides containing fosetyl-Al","Avoid overhead watering, plant resistant varieties"
Pumpkin,Mosaic_Disease,"Mottled or distorted leaves, reduced fruit quality","Viral disease spread by aphids","Remove infected plants, control aphids","Use resistant varieties and remove weeds"
Pumpkin,Bacterial_Leaf_Spot,"Small angular dark spots on leaves","Bacterial infection spread by rain and insects","Apply copper-based bactericides","Avoid working in wet fields, rotate crops"
Onion,Stemphylium_Leaf_Blight,"Small light-yellow spots that enlarge into elongated lesions, leaf tips die back","Fungal infection by Stemphylium vesicarium","Apply mancozeb or chlorothalonil fungicides","Avoid overhead irrigation and ensure good air circulation"
Onion,Xanthomonas_Leaf_Blight,"Water-soaked streaks on leaves that turn brown","Bacterial infection by Xanthomonas axonopodis","Apply copper bactericides","Avoid working when foliage is wet, remove infected debris"
Onion,Virosis_D,"Yellow mosaic pattern and curling on leaves","Viral infection spread by aphids or thrips","Control insect vectors using neem oil or insecticides","Use virus-free planting materials, remove infected plants"
